Section,SubSection,Action,DedupeKey
RADIO,COMMS,"INCREASE COM1 FREQUENCY (FRACT, CARRY)",
RADIO,COMMS,INCREASE COM1 (WHOLE),
RADIO,COMMS,INCREASE COM1 (FRACT),
RADIO,COMMS,DECREASE COM3 VOLUME,
RADIO,COMMS,DECREASE COM3 FREQUENCY (WHOLE),
RADIO,COMMS,"DECREASE COM3 FREQUENCY (FRACT, CARRY)",
RADIO,COMMS,DECREASE COM3 FREQUENCY (FRACT),
RADIO,COMMS,DECREASE COM2 VOLUME,
RADIO,COMMS,DECREASE COM2 FREQUENCY (WHOLE),
RADIO,COMMS,"DECREASE COM2 FREQUENCY (FRACT, CARRY)",
RADIO,COMMS,DECREASE COM2 FREQUENCY (FRACT),
RADIO,COMMS,DECREASE COM1 VOLUME,
RADIO,COMMS,"DECREASE COM1 FREQUENCY (FRACT, CARRY)",
RADIO,COMMS,DECREASE COM1 (WHOLE),
RADIO,COMMS,DECREASE COM1 (FRACT),
RADIO,COMMS,COM3 SWAP,
RADIO,COMMS,COM2 SWAP,
RADIO,COMMS,COM1 SWITCH TO STANDBY,
RADIO,COMMS,COM1 SWAP,
RADIO,COMMS,COM RADIO,
RADIO,DME,TOGGLE DME IDENTIFIER,
RADIO,DME,TOGGLE DME 2 IDENTIFIER,
RADIO,DME,TOGGLE DME 2,
RADIO,DME,TOGGLE DME 1 IDENTIFIER,
RADIO,DME,TOGGLE DME 1,
RADIO,DME,TOGGLE DME,
RADIO,DME,SET DME IDENTIFIER,
RADIO,DME,SET DME 2 IDENTIFIER,
RADIO,DME,SET DME 1 IDENTIFIER,
RADIO,DME,SELECT DME,
RADIO,DME,ENABLE DME IDENTIFIER,
RADIO,DME,ENABLE DME 2 IDENTIFIER,
RADIO,DME,ENABLE DME 1 IDENTIFIER,
RADIO,DME,DME,
RADIO,DME,DISABLE DME IDENTIFIER,
RADIO,DME,DISABLE DME 2 IDENTIFIER,
RADIO,DME,DISABLE DME 1 IDENTIFIER,
RADIO,,TOGGLE SPEAKER,
RADIO,,TOGGLE ANNUNCIATOR SWITCH,
RADIO,,SET PILOT TRANSMITTER,
RADIO,KOLLSMAN,SET ALTIMETER,KEY_KOHLSMAN_SET
RADIO,KOLLSMAN,INCREASE ALTIMETER,
RADIO,KOLLSMAN,DECREASE ALTIMETER,
RADIO,,SET COPILOT TRANSMITTER,
RADIO,,MUTE MARKER BEACON,
RADIO,,INCREASE WHEEL SPEED,
RADIO,NAV,TOGGLE NAV2 AUTOSWITCH,
RADIO,NAV,TOGGLE NAV1 AUTOSWITCH,
RADIO,NAV,SET NAV4 VOLUME,
RADIO,NAV,SET NAV3 VOLUME,
RADIO,NAV,SET NAV2 VOLUME,
RADIO,NAV,SET NAV2 STANDBY,
RADIO,NAV,SET NAV2,
RADIO,NAV,SET NAV1 VOLUME,
RADIO,NAV,SET NAV1 STANDBY,
RADIO,NAV,SET NAV1,
RADIO,NAV,NAV2 SWAP,
RADIO,NAV,NAV1 SWAP,
RADIO,NAV,NAV RADIO,
RADIO,NAV,INCREASE NAV4 VOLUME,
RADIO,NAV,"INCREASE NAV4 FREQUENCY (FRACT, CARRY)",
RADIO,NAV,INCREASE NAV4 (WHOLE),
RADIO,NAV,INCREASE NAV4 (FRACT),
RADIO,NAV,INCREASE NAV3 VOLUME,
RADIO,NAV,"INCREASE NAV3 FREQUENCY (FRACT, CARRY)",
RADIO,NAV,INCREASE NAV3 (WHOLE),
RADIO,NAV,INCREASE NAV3 (FRACT),
RADIO,NAV,INCREASE NAV2 VOLUME,
RADIO,NAV,"INCREASE NAV2 FREQUENCY (FRACT, CARRY)",
RADIO,NAV,INCREASE NAV2 (WHOLE),
RADIO,NAV,INCREASE NAV2 (FRACT),
RADIO,NAV,INCREASE NAV1 VOLUME,
RADIO,NAV,"INCREASE NAV1 FREQUENCY (FRACT, CARRY)",
RADIO,NAV,INCREASE NAV1 (WHOLE),
RADIO,NAV,INCREASE NAV1 (FRACT),
RADIO,NAV,DECREASE NAV4 VOLUME,
RADIO,NAV,"DECREASE NAV4 FREQUENCY (FRACT, CARRY)",
RADIO,NAV,DECREASE NAV4 (FRACT),
RADIO,NAV,DECREASE NAV3 VOLUME,
RADIO,NAV,"DECREASE NAV3 FREQUENCY (FRACT, CARRY)",
RADIO,NAV,DECREASE NAV3 (FRACT),
RADIO,NAV,DECREASE NAV2 VOLUME,
RADIO,NAV,"DECREASE NAV2 FREQUENCY (FRACT, CARRY)",
RADIO,NAV,DECREASE NAV2 (WHOLE),
RADIO,NAV,DECREASE NAV2 (FRACT),
RADIO,NAV,DECREASE NAV1 VOLUME,
RADIO,NAV,"DECREASE NAV1 FREQUENCY (FRACT, CARRY)",
RADIO,NAV,DECREASE NAV1 (WHOLE),
RADIO,NAV,DECREASE NAV1 (FRACT),
RADIO,,FREQUENCY SWAP,
RADIO,,DISPLAY ATC,
RADIO,,ATC PANEL CHOICE 9,
RADIO,VOR,VOR OBS,
RADIO,VOR,TOGGLE VOR 4 IDENTIFIER,
RADIO,VOR,TOGGLE VOR 3 IDENTIFIER,
RADIO,VOR,TOGGLE VOR 2 IDENTIFIER,
RADIO,VOR,TOGGLE VOR 1 IDENTIFIER,
RADIO,VOR,SET VOR4,
RADIO,VOR,SET VOR3,
RADIO,VOR,SET VOR2,
RADIO,VOR,SET VOR1,
RADIO,VOR,SET VOR 4 IDENTIFIER,
RADIO,VOR,SET VOR 3 IDENTIFIER,
RADIO,VOR,SET VOR 2 IDENTIFIER,
RADIO,VOR,SET VOR 1 IDENTIFIER,
RADIO,VOR,INCREASE VOR4 OBI (FAST),
RADIO,VOR,INCREASE VOR4 OBI,
RADIO,VOR,INCREASE VOR3 OBI (FAST),
RADIO,VOR,INCREASE VOR3 OBI,
RADIO,VOR,INCREASE VOR2 OBS,
RADIO,VOR,INCREASE VOR1 OBS,
RADIO,VOR,ENABLE VOR 4 IDENTIFIER,
RADIO,VOR,ENABLE VOR 3 IDENTIFIER,
RADIO,VOR,ENABLE VOR 2 IDENTIFIER,
RADIO,VOR,ENABLE VOR 1 IDENTIFIER,
RADIO,VOR,DISABLE VOR 4 IDENTIFIER,
RADIO,VOR,DISABLE VOR 3 IDENTIFIER,
RADIO,VOR,DISABLE VOR 2 IDENTIFIER,
RADIO,VOR,DISABLE VOR 1 IDENTIFIER,
RADIO,VOR,DECREASE VOR4 OBI (FAST),
RADIO,VOR,DECREASE VOR4 OBI,
RADIO,VOR,DECREASE VOR3 OBI (FAST),
RADIO,VOR,DECREASE VOR3 OBI,
RADIO,VOR,DECREASE VOR2 OBS,
RADIO,VOR,DECREASE VOR1 OBS,
RADIO,,ATC PANEL CHOICE 8,
RADIO,,ATC PANEL CHOICE 7,
RADIO,,ATC PANEL CHOICE 6,
RADIO,TACAN,TOGGLE TACAN DRIVES GPS,
RADIO,TACAN,SWAP TACAN 2,
RADIO,TACAN,SWAP TACAN 1,
RADIO,TACAN,SET TACAN 2 VOLUME,
RADIO,TACAN,SET TACAN 2 STANDBY MODE,
RADIO,TACAN,SET TACAN 2 STANDBY CHANNEL,
RADIO,TACAN,SET TACAN 2 ACTIVE MODE,
RADIO,TACAN,SET TACAN 2 ACTIVE CHANNEL,
RADIO,TACAN,SET TACAN 2,
RADIO,TACAN,SET TACAN 1 VOLUME,
RADIO,TACAN,SET TACAN 1 STANDBY MODE,
RADIO,TACAN,SET TACAN 1 STANDBY CHANNEL,
RADIO,TACAN,SET TACAN 1 ACTIVE MODE,
RADIO,TACAN,SET TACAN 1 ACTIVE CHANNEL,
RADIO,TACAN,SET TACAN 1,
RADIO,TACAN,INCREASE TACAN 2 VOLUME,
RADIO,TACAN,INCREASE TACAN 2 OBI,
RADIO,TACAN,INCREASE TACAN 1 VOLUME,
RADIO,TACAN,INCREASE TACAN 1 OBI,
RADIO,TACAN,FAST INCREASE TACAN 2 OBI,
RADIO,TACAN,FAST INCREASE TACAN 1 OBI,
RADIO,TACAN,FAST DECREASE TACAN 2 OBI,
RADIO,TACAN,FAST DECREASE TACAN 1 OBI,
RADIO,TACAN,DECREASE TACAN 2 VOLUME,
RADIO,TACAN,DECREASE TACAN 2 OBI,
RADIO,TACAN,DECREASE TACAN 1 VOLUME,
RADIO,TACAN,DECREASE TACAN 1 OBI,
RADIO,,ATC PANEL CHOICE 5,
RADIO,,ATC PANEL CHOICE 4,
RADIO,,ATC PANEL CHOICE 3,
RADIO,OBI,INCREASE VOR2 OBS (FAST),
RADIO,OBI,INCREASE VOR1 OBS (FAST),
RADIO,OBI,DECREASE VOR2 OBS (FAST),
RADIO,OBI,DECREASE VOR1 OBS (FAST),
RADIO,,ATC PANEL CHOICE 2,
RADIO,,ATC PANEL CHOICE 1,
RADIO,,ATC PANEL CHOICE 0,
RADIO,XPNDR,TRANSPONDER,
RADIO,XPNDR,SET TRANSPONDER,
RADIO,XPNDR,INCREASE TRANSPONDER (1000),
RADIO,XPNDR,INCREASE TRANSPONDER (100),
RADIO,XPNDR,INCREASE TRANSPONDER (10),
RADIO,XPNDR,"INCREASE TRANSPONDER (1, CARRY)",
RADIO,XPNDR,INCREASE TRANSPONDER (1),
RADIO,XPNDR,DECREASE TRANSPONDER (1000),
RADIO,XPNDR,DECREASE TRANSPONDER (100),
RADIO,XPNDR,DECREASE TRANSPONDER (10),
RADIO,XPNDR,"DECREASE TRANSPONDER (1, CARRY)",
RADIO,XPNDR,DECREASE TRANSPONDER (1),
RADIO,,ANNUNCIATOR SWITCH ON,
RADIO,,ANNUNCIATOR SWITCH OFF,
MISCELLANEOUS,,WING FOLD ON,
MISCELLANEOUS,,WING FOLD OFF,
MISCELLANEOUS,,WATER BALLAST ON,
MISCELLANEOUS,,WATER BALLAST OFF,
MISCELLANEOUS,,VR - COCKPIT INTERACTION - RIGHT (LOCKABLE),
MISCELLANEOUS,,VR - COCKPIT INTERACTION - RIGHT,
MISCELLANEOUS,,VR - COCKPIT INTERACTION - LEFT (LOCKABLE),
MISCELLANEOUS,,VR - COCKPIT INTERACTION - LEFT,
MISCELLANEOUS,,VISUAL ASSISTANCES ON,
MISCELLANEOUS,,VISUAL ASSISTANCES OFF,
MISCELLANEOUS,,TUG SPEED,
MISCELLANEOUS,,TUG HEADING,
MISCELLANEOUS,,TRIGGER HORN,
MISCELLANEOUS,,TOW PLANE/ WINCH RELEASE,
MISCELLANEOUS,,TOGGLE WING FOLD,
MISCELLANEOUS,,TOGGLE WATER BALLAST VALVE,
MISCELLANEOUS,,TOGGLE VISUAL ASSISTANCES,
MISCELLANEOUS,,TOGGLE VARIOMETER SOUND,
MISCELLANEOUS,,TOGGLE TAXI RIBBON,
MISCELLANEOUS,,TOGGLE TAIL HOOK HANDLE,
MISCELLANEOUS,,TOGGLE ROTOR CLUTCH SWITCH,
MISCELLANEOUS,,TOGGLE PUSHBACK,
MISCELLANEOUS,,TOGGLE ORNITHOPTER GLIDE MODE,
MISCELLANEOUS,,TOGGLE ORNITHOPTER DIVE MODE,
MISCELLANEOUS,,TOGGLE NAMEPLATES,
MISCELLANEOUS,,TOGGLE MARKER SOUND,
MISCELLANEOUS,,TOGGLE LAUNCH BAR SWITCH,
MISCELLANEOUS,,TOGGLE LANDING RIBBON,
MISCELLANEOUS,,TOGGLE HELICOPTER ENGINES GOVERNORS,
MISCELLANEOUS,,TOGGLE HEADPHONE SIMULATION,
MISCELLANEOUS,,TOGGLE FLIGHT ASSISTANT,
MISCELLANEOUS,,TOGGLE DELEGATE CONTROL TO COPILOT,
MISCELLANEOUS,,TOGGLE CFD,
MISCELLANEOUS,,TOGGLE 3D THERMALS DISPLAY,
MISCELLANEOUS,,TAXI RIBBON ON,
MISCELLANEOUS,,TAXI RIBBON OFF,
MISCELLANEOUS,,SMOKE TOGGLE,
MISCELLANEOUS,,SMOKE SET,
MISCELLANEOUS,,SMOKE ON,
MISCELLANEOUS,,SMOKE OFF,
MISCELLANEOUS,,SKIP RTC,
MISCELLANEOUS,,SIM RATE,
MISCELLANEOUS,,SET WING FOLD,
MISCELLANEOUS,,SET TAIL HOOK HANDLE,
MISCELLANEOUS,,SET STEERING,
MISCELLANEOUS,,SET ROTOR CLUTCH SWITCH,
MISCELLANEOUS,,SET PAUSE ON,
MISCELLANEOUS,,SET PAUSE OFF,
MISCELLANEOUS,,SET NOSE WHEEL STEERING TO LIMIT,
MISCELLANEOUS,,SET MARKER SOUND,
MISCELLANEOUS,,SET LAUNCH BAR SWITCH,
MISCELLANEOUS,,REQUEST FUEL,
MISCELLANEOUS,,REPAIR AND REFUEL,
MISCELLANEOUS,,PLUS,
MISCELLANEOUS,,ORNITHOPTER SET WINGS BRAKE,
MISCELLANEOUS,,ORNITHOPTER SET AFTERBURNER,
MISCELLANEOUS,,ORNITHOPTER GLIDE MODE ON,
MISCELLANEOUS,,ORNITHOPTER GLIDE MODE OFF,
MISCELLANEOUS,,ORNITHOPTER DIVE MODE ON,
MISCELLANEOUS,,ORNITHOPTER DIVE MODE OFF,
MISCELLANEOUS,,NOSE WHEEL STEERING AXIS,
MISCELLANEOUS,,NEW UI WINDOW MODE,
MISCELLANEOUS,,NAMEPLATES ON,
MISCELLANEOUS,,NAMEPLATES OFF,
MISCELLANEOUS,,MINUS,
MISCELLANEOUS,,LANDING RIBBON ON,
MISCELLANEOUS,,LANDING RIBBON OFF,
MISCELLANEOUS,,INTERACTION UNLOCK,
MISCELLANEOUS,,INTERACTION TOGGLE,
MISCELLANEOUS,,INTERACTION LOCK,
MISCELLANEOUS,,INCREASE STEERING,
MISCELLANEOUS,,INCREASE SIM RATE,
MISCELLANEOUS,,HEADPHONE SIMULATION ON,
MISCELLANEOUS,,HEADPHONE SIMULATION OFF,
MISCELLANEOUS,,GAUGE KEYSTROKE,
MISCELLANEOUS,,DISPLAY NAVLOG,
MISCELLANEOUS,,DISPLAY MAP,
MISCELLANEOUS,,DISABLE TUG,
MISCELLANEOUS,,DECREASE STEERING,
MISCELLANEOUS,,DECREASE SIM RATE,
MISCELLANEOUS,,CURSOR UP,
MISCELLANEOUS,,CURSOR TOGGLE,
MISCELLANEOUS,,CURSOR RIGHT,
MISCELLANEOUS,,CURSOR LEFT,
MISCELLANEOUS,,CURSOR DOWN,
MISCELLANEOUS,,COCKPIT INTERACTION Y AXIS (LOCKABLE),
MISCELLANEOUS,,COCKPIT INTERACTION X AXIS (LOCKABLE),
MISCELLANEOUS,,COCKPIT INTERACTION - Y AXIS,
MISCELLANEOUS,,COCKPIT INTERACTION - X AXIS,
MISCELLANEOUS,,COCKPIT INTERACTION - TERTIARY ACTION (LOCKABLE),
MISCELLANEOUS,,COCKPIT INTERACTION - TERTIARY ACTION,
MISCELLANEOUS,,COCKPIT INTERACTION - SECONDARY ACTION (LOCKABLE),
MISCELLANEOUS,,COCKPIT INTERACTION - SECONDARY ACTION,
MISCELLANEOUS,,COCKPIT INTERACTION - PRIMARY ACTION (LOCKABLE),
MISCELLANEOUS,,COCKPIT INTERACTION - PRIMARY ACTION,
MISCELLANEOUS,,COCKPIT INTERACTION - INCREASE (LOCKABLE),
MISCELLANEOUS,,COCKPIT INTERACTION - INCREASE,
MISCELLANEOUS,,COCKPIT INTERACTION - DECREASE (LOCKABLE),
MISCELLANEOUS,,COCKPIT INTERACTION - DECREASE,
MISCELLANEOUS,,CFD ON,
MISCELLANEOUS,,CFD OFF,
MISCELLANEOUS,,BACK TO FLY,
MISCELLANEOUS,,3D THERMALS DISPLAY ON,
MISCELLANEOUS,,3D THERMALS DISPLAY OFF,
DEVELOPER MODE,,VALIDATE,
DEVELOPER MODE,,UNGROUP,
DEVELOPER MODE,,UNDO,
DEVELOPER MODE,,TOGGLE SIM PAUSE,
DEVELOPER MODE,,TOGGLE CONSOLE,
DEVELOPER MODE,,SPLIT EDGE,
DEVELOPER MODE,,SPARSE SELECTION,
DEVELOPER MODE,,SAVE DOCUMENT,
DEVELOPER MODE,,SAVE AS DOCUMENT,
DEVELOPER MODE,,RENAME,
DEVELOPER MODE,,REDO,
DEVELOPER MODE,,RANGE SELECTION,
DEVELOPER MODE,,PASTE SELECTION,
DEVELOPER MODE,,OPEN DOCUMENT,
DEVELOPER MODE,,NEW GROUP,
DEVELOPER MODE,,NEW DOCUMENT,
DEVELOPER MODE,,MOVE UP,
DEVELOPER MODE,,MOVE DOWN,
DEVELOPER MODE,,LOCK SELECTED,
DEVELOPER MODE,,LOCK OBJECT,
DEVELOPER MODE,,HIDE SELECTED EDITION,
DEVELOPER MODE,,HIDE SELECTED,
DEVELOPER MODE,,HIDE LOCK WINDOW,
DEVELOPER MODE,,HIDE ALL OBJECT,
DEVELOPER MODE,,HIDE ALL EDITION,
DEVELOPER MODE,,GIZMO TRANSLATE,
DEVELOPER MODE,,GIZMO SCALE,
DEVELOPER MODE,,GIZMO ROTATE,
DEVELOPER MODE,,FOCUS OBJECT,
DEVELOPER MODE,,FIND,
DEVELOPER MODE,,DUPLICATE SELECTION,
DEVELOPER MODE,,DEVELOPER CAMERA ZOOM OUT,
DEVELOPER MODE,,DEVELOPER CAMERA ZOOM IN,
DEVELOPER MODE,,DEVELOPER CAMERA TRANSLATION,
DEVELOPER MODE,,DEVELOPER CAMERA LOOK AT,
DEVELOPER MODE,,DELETE SELECTION,
DEVELOPER MODE,,CUT SELECTION,
DEVELOPER MODE,,COPY SELECTION,
DEVELOPER MODE,,CLOSE DOCUMENT,
DEVELOPER MODE,,ADD TAXIWAY POINT,
DEVELOPER MODE,,ADD RUNWAY,
DEVELOPER MODE,,ADD PARKING,
DEVELOPER MODE,,ADD PAINTED LINE,
DEVELOPER MODE,,ADD APRON,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SET ALTIMETER,KEY_BAROMETRIC
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SELECT VSI BUG,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SELECT HEADING BUG,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SELECT ALTITUDE BUG,
INSTRUMENTS AND SYSTEMS,FLIGHT INSTRUMENTS,SELECT AIRSPEED BUG,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE MASTER BATTERY,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE MASTER ALTERNATOR,
INSTRUMENTS AND SYSTEMS,ANTI ICE,TOGGLE PITOT HEAT,
INSTRUMENTS AND SYSTEMS,ANTI ICE,TOGGLE ANTI ICE,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE WINDSHIELD DEICE,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE STRUCTURAL DEICE,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,TOGGLE PROPELLER DEICE,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETOS START,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETOS RIGHT,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETOS OFF,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETOS LEFT,
INSTRUMENTS AND SYSTEMS,ENGINE INSTRUMENTS,MAGNETOS BOTH,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,TOGGLE WATER RUDDER,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,TAIL ROTOR AXIS,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,SET VERTICAL SPEED TO 0,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,SET VERTICAL SPEED,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,SET CYCLIC LONGITUDINAL AXIS,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,SET CYCLIC LATERAL AXIS,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,RUDDER RIGHT (YAW RIGHT),
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,RUDDER LEFT (YAW LEFT),
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,RUDDER AXIS RIGHT,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,RUDDER AXIS LEFT,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,RUDDER AXIS,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,INCREMENT TAIL ROTOR,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,INCREASE VERTICAL SPEED,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,ELEVATOR UP (PITCH UP),
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,ELEVATOR DOWN (PITCH DOWN),
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,ELEVATOR AXIS,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,DECREMENT TAIL ROTOR,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,DECREASE VERTICAL SPEED,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,CYCLIC UP,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,CYCLIC RIGHT,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,CYCLIC LEFT,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,CYCLIC DOWN,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,CENTER RUDDER,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,CENTER AILERON,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,CENTER AILER RUDDER,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,AILERONS AXIS,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,AILERON RIGHT (ROLL RIGHT),
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,AILERON LEFT (ROLL LEFT),
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,TOGGLE RUDDER TRIM,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,TOGGLE ELEVATOR TRIM,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,TOGGLE AILERON TRIM,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,SET RUDDER TRIM,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,SET ROTOR LONGITUDINAL TRIM,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,SET ROTOR LATERAL TRIM,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,SET ELEVATOR TRIM,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,SET AILERON TRIM,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,RUDDER TRIM RIGHT,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,RUDDER TRIM LEFT,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,ROTOR TRIM RESET,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,RESET RUDDER TRIM,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,INCREASE ROTOR LONGITUDINAL TRIM,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,INCREASE ROTOR LATERAL TRIM,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,ELEVATOR TRIM UP (NOSE UP),
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,ELEVATOR TRIM DOWN (NOSE DOWN),
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,ELEVATOR TRIM AXIS (-100 TO 100%),
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,DECREASE ROTOR LONGITUDINAL TRIM,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,DECREASE ROTOR LATERAL TRIM,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,AILERON TRIM RIGHT,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,AILERON TRIM LEFT,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,TOGGLE SPOILERS,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,TOGGLE ARM SPOILERS,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,SPOILERS AXIS,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,SPOILER SET,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,SET FLAPS (CONTINUOUS),
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,SET AUTO SPOILERS ARMING,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,RETRACT SPOILERS,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,RETRACT FLAPS,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,INCREMENT SPOILERS,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,INCREASE FLAPS (CONTINUOUS),
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,INCREASE FLAPS,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,FLAPS AXIS (0 TO 100%),
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,FLAPS AXIS,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,FLAPS 4,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,FLAPS 3,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,FLAPS 2,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,FLAPS 1,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,EXTEND SPOILERS,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,EXTEND FLAPS,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,DISARM AUTO SPOILERS,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,DECREMENT SPOILERS,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,DECREASE FLAPS (CONTINUOUS),
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,DECREASE FLAPS,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,ARM AUTO SPOILERS,
LIGHTS,EXTERIOR LIGHTS,TOGGLE WING LIGHTS,
LIGHTS,EXTERIOR LIGHTS,TOGGLE TAXI LIGHTS,
LIGHTS,EXTERIOR LIGHTS,TOGGLE STROBES,
LIGHTS,EXTERIOR LIGHTS,TOGGLE RECOGNITION LIGHTS,
LIGHTS,EXTERIOR LIGHTS,TOGGLE NAV LIGHTS,
LIGHTS,EXTERIOR LIGHTS,TOGGLE LOGO LIGHTS,
LIGHTS,EXTERIOR LIGHTS,TOGGLE LANDING LIGHTS,
LIGHTS,EXTERIOR LIGHTS,TOGGLE BEACON LIGHTS,
LIGHTS,EXTERIOR LIGHTS,TAXI LIGHTS ON,
LIGHTS,EXTERIOR LIGHTS,TAXI LIGHTS OFF,
LIGHTS,EXTERIOR LIGHTS,STROBES ON,
LIGHTS,EXTERIOR LIGHTS,STROBES OFF,
LIGHTS,EXTERIOR LIGHTS,SET TAXI LIGHTS,
LIGHTS,EXTERIOR LIGHTS,SET STROBES,
LIGHTS,EXTERIOR LIGHTS,SET RECOGNITION LIGHTS,
LIGHTS,EXTERIOR LIGHTS,SET NAV LIGHTS,
LIGHTS,EXTERIOR LIGHTS,SET LANDING LIGHTS,
LIGHTS,EXTERIOR LIGHTS,SET BEACON LIGHTS,
